CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;
034;026;202607;202607;MERVIV02;00;SENS;N;321;0,0;0,05000;16,05;0,61;0,00;16,66;
034;026;202607;202607;MERVIV02;00;SENS;N;2;0,0;0,05000;0,10;0,00;0,00;0,10;
034;026;202607;202607;MERVIV02;00;SENS;N;4;0,0;0,05000;0,20;0,01;0,00;0,21;
034;026;202607;202607;MERVIV02;00;SENS;N;2;0,0;0,05000;0,10;0,00;0,00;0,10;
034;026;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;026;202607;202607;MERVIV02;00;SENS;R;23;0,0;0,05000;1,15;0,04;0,00;1,19;
034;026;202607;202607;MERVIV02;00;SENS;R;15;0,0;0,05000;0,75;0,03;0,00;0,78;
034;026;202607;;;01;;;388;0,00;;19,40;0,73;0,00;20,13;
034;030;202607;202607;MERVIV01;00;SENS;N;4;0,0;0,05000;0,20;0,01;0,00;0,21;
034;030;202607;202607;MERVIV01;00;SENS;N;7038;0,0;0,05000;351,90;13,33;0,00;365,23;
034;030;202607;202607;MERVIV01;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;030;202607;202607;MERVIV01;00;SENS;N;283;0,0;0,05000;14,15;0,54;0,00;14,69;
034;030;202607;202607;MERVIV01;00;SENS;N;11;0,0;0,05000;0,55;0,02;0,00;0,57;
034;030;202607;202607;MERVIV01;00;SENS;R;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;030;202607;202607;MERVIV01;00;SENS;R;4;0,0;0,05000;0,20;0,01;0,00;0,21;
034;030;202607;202607;MERVIV01;00;SENS;R;2401;0,0;0,05000;120,05;4,55;0,00;124,60;
034;030;202607;202607;MERVIV01;00;SENS;R;187;0,0;0,05000;9,35;0,35;0,00;9,70;
034;030;202607;202607;MERVIV01;00;SENS;R;5;0,0;0,05000;0,25;0,01;0,00;0,26;
034;030;202607;202607;MERVIV02;00;SENS;N;25;0,0;0,05000;1,25;0,05;0,00;1,30;
034;030;202607;202607;MERVIV02;00;SENS;N;24424;0,0;0,05000;1221,20;46,26;0,00;1267,46;
034;030;202607;202607;MERVIV02;00;SENS;N;3;0,0;0,05000;0,15;0,01;0,00;0,16;
034;030;202607;202607;MERVIV02;00;SENS;N;654;0,0;0,05000;32,70;1,24;0,00;33,94;
034;030;202607;202607;MERVIV02;00;SENS;N;33;0,0;0,05000;1,65;0,06;0,00;1,71;
034;030;202607;202607;MERVIV02;00;SENS;N;6;0,0;0,05000;0,30;0,01;0,00;0,31;
034;030;202607;202607;MERVIV02;00;SENS;R;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;030;202607;202607;MERVIV02;00;SENS;R;3;0,0;0,05000;0,15;0,01;0,00;0,16;
034;030;202607;202607;MERVIV02;00;SENS;R;9917;0,0;0,05000;495,85;18,78;0,00;514,63;
034;030;202607;202607;MERVIV02;00;SENS;R;174;0,0;0,05000;8,70;0,33;0,00;9,03;
034;030;202607;202607;MERVIV02;00;SENS;R;13;0,0;0,05000;0,65;0,02;0,00;0,67;
034;030;202607;;;01;;;45188;0,00;;2259,40;85,59;0,00;2344,99;
034;033;202607;202607;MERVIV02;00;SENS;N;23;0,0;0,05000;1,15;0,04;0,00;1,19;
