CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;VALOR_TOTAL_REAL;OPERATOR_TYPE;EOT_CREDORA
012;010;202607;202607;SPOX_9655;00;1LENI;D;59;394,4;0,00787;3,10;0,12;0,00;3,22;0,00;M;143
012;010;202607;202607;SPOX_9655;00;1LENI;N;56;185,8;0,00787;1,46;0,06;0,00;1,52;0,00;M;143
012;010;202607;202607;SPOX_9655;00;1LENI;R;24;42,0;0,00787;0,33;0,01;0,00;0,34;0,00;M;143
012;010;202607;202607;SPOX_9655;00;1LENI;S;10;5,0;0,00787;0,04;0,00;0,00;0,04;0,00;M;143
012;010;202607;202607;SPO_10151;00;1LENI;D;1;0,5;0,00787;0,00;0,00;0,00;0,00;0,00;M;025
012;010;202607;202607;SPO_10151;00;1LENI;D;2337;7442,7;0,00787;58,57;2,22;0,00;60,79;0,00;M;143
012;010;202607;202607;SPO_10151;00;1LENI;N;1426;4194,8;0,00787;33,01;1,25;0,00;34,26;0,00;M;143
012;010;202607;202607;SPO_10151;00;1LENI;R;101;219,4;0,00787;1,73;0,07;0,00;1,80;0,00;M;143
012;010;202607;202607;SPO_10151;00;1LENI;S;7;7,5;0,00787;0,06;0,00;0,00;0,06;0,00;M;143
012;010;202607;202607;SPO_10155;00;1LENI;D;2438;7767,0;0,00787;61,13;2,32;0,00;63,45;0,00;M;143
012;010;202607;202607;SPO_10155;00;1LENI;N;1408;4077,9;0,00787;32,09;1,22;0,00;33,31;0,00;M;143
012;010;202607;202607;SPO_10155;00;1LENI;R;73;139,2;0,00787;1,10;0,04;0,00;1,14;0,00;M;143
012;010;202607;202607;SPO_10155;00;1LENI;S;3;1,6;0,00787;0,01;0,00;0,00;0,01;0,00;M;143
012;010;202607;202607;SPO_10402;00;1LENI;D;52;134,5;0,00787;1,06;0,04;0,00;1,10;0,00;M;325
012;010;202607;202607;SPO_10402;00;1LENI;N;34;78,6;0,00787;0,62;0,02;0,00;0,64;0,00;M;325
012;010;202607;202607;SPO_10402;00;1LENI;R;11;15,4;0,00787;0,12;0,00;0,00;0,12;0,00;M;325
012;010;202607;202607;SPO_10416;00;1LENI;D;38;103,9;0,00787;0,82;0,03;0,00;0,85;0,00;M;325
012;010;202607;202607;SPO_10416;00;1LENI;N;33;84,5;0,00787;0,67;0,03;0,00;0,70;0,00;M;325
012;010;202607;202607;SPO_10416;00;1LENI;R;5;2,7;0,00787;0,02;0,00;0,00;0,02;0,00;M;325
012;010;202607;202607;SPO_10619;00;1LENI;D;5;11,4;0,00787;0,09;0,00;0,00;0,09;0,00;M;325
012;010;202607;202607;SPO_10619;00;1LENI;N;11;24,2;0,00787;0,19;0,01;0,00;0,20;0,00;M;325
012;010;202607;202607;SPO_10619;00;1LENI;R;5;23,0;0,00787;0,18;0,01;0,00;0,19;0,00;M;325
012;010;202607;202607;SPO_10808;00;1LENI;D;123;189,8;0,00787;1,49;0,06;0,00;1,55;0,00;M;325
012;010;202607;202607;SPO_10808;00;1LENI;N;72;131,1;0,00787;1,03;0,04;0,00;1,07;0,00;M;325
012;010;202607;202607;SPO_10808;00;1LENI;R;41;62,3;0,00787;0,49;0,02;0,00;0,51;0,00;M;325
012;010;202607;202607;SPO_10808;00;1LENI;S;2;1,0;0,00787;0,01;0,00;0,00;0,01;0,00;M;325
012;010;202607;202607;SPO_10809;00;1LENI;D;3;1,5;0,00787;0,01;0,00;0,00;0,01;0,00;M;143
012;010;202607;202607;SPO_10809;00;1LENI;N;2;1,8;0,00787;0,01;0,00;0,00;0,01;0,00;M;143
012;010;202607;202607;SPO_11141;00;1LENI;D;2;10,9;0,00787;0,09;0,00;0,00;0,09;0,00;M;143
012;010;202607;202607;SPO_11141;00;1LENI;N;1;4,5;0,00787;0,04;0,00;0,00;0,04;0,00;M;143
012;010;202607;202607;SPO_11400;00;1LENI;D;74;219,5;0,00787;1,73;0,07;0,00;1,80;0,00;M;325
012;010;202607;202607;SPO_11400;00;1LENI;N;62;169,4;0,00787;1,33;0,05;0,00;1,38;0,00;M;325
012;010;202607;202607;SPO_11400;00;1LENI;R;15;27,1;0,00787;0,21;0,01;0,00;0,22;0,00;M;325
012;010;202607;202607;SPO_11401;00;1LENI;D;1967;3786,6;0,00787;29,80;1,13;0,00;30,93;0,00;M;143
012;010;202607;202607;SPO_11401;00;1LENI;N;1577;2917,5;0,00787;22,96;0,87;0,00;23,83;0,00;M;143
012;010;202607;202607;SPO_11401;00;1LENI;R;276;411,2;0,00787;3,24;0,12;0,00;3,36;0,00;M;143
012;010;202607;202607;SPO_11401;00;1LENI;S;15;15,4;0,00787;0,12;0,00;0,00;0,12;0,00;M;143
012;010;202607;202607;SPO_11404;00;1LENI;D;5249;13860,2;0,00787;109,08;4,13;0,00;113,21;0,00;M;143
012;010;202607;202607;SPO_11404;00;1LENI;N;1;1,7;0,00787;0,01;0,00;0,00;0,01;0,00;M;025
012;010;202607;202607;SPO_11404;00;1LENI;N;3436;8101,6;0,00787;63,76;2,42;0,00;66,18;0,00;M;143
012;010;202607;202607;SPO_11404;00;1LENI;R;461;856,6;0,00787;6,74;0,26;0,00;7,00;0,00;M;143
012;010;202607;202607;SPO_11404;00;1LENI;S;45;50,4;0,00787;0,40;0,02;0,00;0,42;0,00;M;143
012;010;202607;202607;SPO_14657;00;1LENI;D;133;386,5;0,00787;3,04;0,12;0,00;3,16;0,00;M;325
012;010;202607;202607;SPO_14657;00;1LENI;N;110;391,7;0,00787;3,08;0,12;0,00;3,20;0,00;M;325
012;010;202607;202607;SPO_14657;00;1LENI;R;41;82,5;0,00787;0,65;0,02;0,00;0,67;0,00;M;325
012;010;202607;202607;SPO_14657;00;1LENI;S;2;1,0;0,00787;0,01;0,00;0,00;0,01;0,00;M;325
012;010;202607;;;01;;;598003;1567661,50;;12337,49;467,38;0,00;12804,87;0,00;;
012;020;202607;202607;FACX_5135;00;1LENI;D;1;0,5;0,00787;0,00;0,00;0,00;0,00;0,00;M;351
