2026-08-17 17:21:21.752 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] C:\Users\Btime Soluções\AppData\Local\Temp\pytest-of-Btime Soluções\pytest-24\test_arquivo_sem_pasta_no_nome0\origem -> pelo nome: 1 de 1 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.752 | ERROR   |src.services.captacao_expectativa:executar:199 - [Expectativa] Não sei em qual pasta [SEM_PASTA_202603_D.csv] entra — nenhuma de ['Vivo', 'TLF', 'MVNO', 'Detraf TRP'] aparece no nome. Não foi copiado.
2026-08-17 17:21:21.752 | WARNING |test_captacao_expectativa:test_arquivo_sem_pasta_no_nome_falha_dizendo:310 - [Expectativa] Nenhum arquivo _D de 202603 foi trazido. A validação vai seguir com o que já estiver na pasta — confira se o período está certo antes de tratar como defeito.
2026-08-17 17:21:21.759 | INFO    |test_captacao_expectativa:test_le_da_subpasta_quando_a_arvore_esta_espelhada:324 - [Expectativa] Procurando os arquivos _D de 202603 em 5 pasta(s) de origem.
2026-08-17 17:21:21.760 | INFO    |src.services.captacao_expectativa:executar:191 - [Expectativa] Origem simulada em disco: [C:\Users\Btime Soluções\AppData\Local\Temp\pytest-of-Btime Soluções\pytest-24\test_le_da_subpasta_quando_a_a0\origem]
2026-08-17 17:21:21.761 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_VIVO -> Vivo: 1 de 1 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.762 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] Baixado: Vivo/V_202603_D.csv
2026-08-17 17:21:21.768 | INFO    |test_captacao_expectativa:test_pasta_inexistente_falha_com_o_motivo:333 - [Expectativa] Procurando os arquivos _D de 202603 em 5 pasta(s) de origem.
2026-08-17 17:21:21.768 | ERROR   |test_captacao_expectativa:test_pasta_inexistente_falha_com_o_motivo:333 - [Expectativa] [--de-pasta] O diretório [C:\Users\Btime Soluções\AppData\Local\Temp\pytest-of-Btime Soluções\pytest-24\test_pasta_inexistente_falha_c0\nao_existe] não existe.
2026-08-17 17:21:21.774 | INFO    |test_captacao_expectativa:test_o_resumo_diz_a_origem_e_o_periodo:343 - [Expectativa] Procurando os arquivos _D de 202603 em 5 pasta(s) de origem.
2026-08-17 17:21:21.775 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_SMS_ITF -> Vivo: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.775 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_VIVO -> Vivo: 1 de 1 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.777 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] Baixado: Vivo/A_202603_D.csv
2026-08-17 17:21:21.777 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TELEFONICA -> TLF: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.777 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/MVNO/NEXTEL/DESMP -> MVNO: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.777 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TRP -> Detraf TRP: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.789 | ERROR   |test_criacao_arquivo_contestacao:test_valor_ilegivel_vira_zero:54 - [coluna numérica] 1 valor(es) não puderam ser convertidos para número e viraram ZERO: ['abc']. A causa mais comum é separador de milhar ('1.234,56'), que a V2 não define para estes campos. Um valor zerado aqui vira diferença inventada na contestação — confira o arquivo antes de aceitar a apuração.
2026-08-17 17:21:21.793 | ERROR   |test_criacao_arquivo_contestacao:test_separador_de_milhar_vira_zero:78 - [coluna numérica] 1 valor(es) não puderam ser convertidos para número e viraram ZERO: ['1.234,56']. A causa mais comum é separador de milhar ('1.234,56'), que a V2 não define para estes campos. Um valor zerado aqui vira diferença inventada na contestação — confira o arquivo antes de aceitar a apuração.
2026-08-17 17:21:21.797 | INFO    |comum.dados.repositorio_cache:obter_tabela:214 - Carregando tabela [tbl_anexo5_processado]
2026-08-17 17:21:21.801 | INFO    |comum.dados.repositorio_cache:obter_tabela:214 - Tabela [tbl_anexo5_processado] carregada | Linhas: 4 | Colunas: 6
2026-08-17 17:21:21.804 | INFO    |comum.dados.repositorio_cache:obter_tabela:214 - Carregando tabela [tbl_detraf_mapeamento_descritores]
2026-08-17 17:21:21.806 | INFO    |comum.dados.repositorio_cache:obter_tabela:214 - Tabela [tbl_detraf_mapeamento_descritores] carregada | Linhas: 4 | Colunas: 5
2026-08-17 17:21:21.918 | ERROR   |test_criacao_arquivo_contestacao:_converter:287 - [R$_Bruto (coluna 15)] 1 valor(es) não puderam ser convertidos para número e viraram ZERO: ['1.234,56']. A causa mais comum é separador de milhar ('1.234,56'), que a V2 não define para estes campos. Um valor zerado aqui vira diferença inventada na contestação — confira o arquivo antes de aceitar a apuração.
2026-08-17 17:21:21.924 | ERROR   |test_criacao_arquivo_contestacao:_converter:287 - [R$_Bruto (coluna 15)] 2 valor(es) não puderam ser convertidos para número e viraram ZERO: ['1.234,56', '2.000,00']. A causa mais comum é separador de milhar ('1.234,56'), que a V2 não define para estes campos. Um valor zerado aqui vira diferença inventada na contestação — confira o arquivo antes de aceitar a apuração.
2026-08-17 17:21:21.934 | INFO    |comum.dados.repositorio_cache:__init__:77 - Inicializando conexão com o banco no ambiente [dev]
2026-08-17 17:21:21.934 | INFO    |comum.dados.repositorio_cache:__init__:77 - Utilizando SQLite local [C:\Users\BTIMES~1\AppData\Local\Temp\detraf_rpa2_teste_yi_fca6j\TABELAS_DETRAF_TESTE.db]
2026-08-17 17:21:21.945 | INFO    |comum.dados.repositorio_cache:__init__:77 - Inicializando conexão com o banco no ambiente [dev]
2026-08-17 17:21:21.945 | INFO    |comum.dados.repositorio_cache:__init__:77 - Utilizando SQLite local [C:\Users\BTIMES~1\AppData\Local\Temp\detraf_rpa2_teste_yi_fca6j\TABELAS_DETRAF_TESTE.db]
2026-08-17 17:21:21.958 | INFO    |comum.dados.repositorio_cache:__init__:77 - Inicializando conexão com o banco no ambiente [dev]
2026-08-17 17:21:21.959 | INFO    |comum.dados.repositorio_cache:__init__:77 - Utilizando SQLite local [C:\Users\BTIMES~1\AppData\Local\Temp\detraf_rpa2_teste_yi_fca6j\TABELAS_DETRAF_TESTE.db]
2026-08-17 17:21:21.967 | WARNING |test_criacao_arquivo_contestacao:test_descritor_fora_do_catalogo_e_nomeado_no_log:385 - [HU-09] 1 linha(s) com descritor sem remuneração na tabela `tbl_detraf_mapeamento_descritores`: ['XXZ']. Elas ficam sem `remuneracao` e não serão encontradas pelo RPA 3 — confira se falta linha na tabela.
2026-08-17 17:21:22.045 | INFO    |test_limpeza_e_resultado:test_falha_de_leitura_vira_registro_nao_validado:147 - Iniciando transformação de lote tipo [DETRAF_SUCESSO] com 1 arquivo(s).
